meter,post,treatment,reef,spat.source,home.away,position,date.checked,month.checked,number.shells,color,status,size,diff,notes
20,2,control,butler,pellicer,away,3,8/17/19,initial,2,purple,1,14,0,
20,2,control,butler,pellicer,away,3,8/17/19,initial,2,red,1,12,0,
3,7,cage,pellicer,pellicer,home,3,8/17/19,initial,1,blue,1,18,0,
3,7,cage,pellicer,pellicer,home,3,8/17/19,initial,1,purple,1,9,0,
3,7,cage,pellicer,pellicer,home,3,8/17/19,initial,1,red,1,17,0,
1,12,control,butler,pellicer,away,3,8/17/19,initial,2,blue,1,14,0,
1,12,control,butler,pellicer,away,3,8/17/19,initial,2,purple,1,10,0,
1,12,control,butler,pellicer,away,3,8/17/19,initial,2,red,1,12,0,
11,13,control,butler,pellicer,away,3,8/17/19,initial,2,blue,1,17,0,
11,13,control,butler,pellicer,away,3,8/17/19,initial,2,purple,1,13,0,
11,13,control,butler,pellicer,away,3,8/17/19,initial,2,red,1,14,0,
6,16,control,pellicer,pellicer,home,3,8/17/19,initial,1,blue,1,9,0,
6,16,control,pellicer,pellicer,home,3,8/17/19,initial,1,purple,1,18,0,
6,16,control,pellicer,pellicer,home,3,8/17/19,initial,1,red,1,15,0,
12,18,cage,pellicer,pellicer,home,3,8/17/19,initial,2,blue,1,11,0,
12,18,cage,pellicer,pellicer,home,3,8/17/19,initial,2,purple,1,8,0,
12,18,cage,pellicer,pellicer,home,3,8/17/19,initial,2,red,1,11,0,
15,22,control,pellicer,pellicer,home,3,8/17/19,initial,3,blue,1,9,0,
15,22,control,pellicer,pellicer,home,3,8/17/19,initial,3,purple,1,8,0,
15,22,control,pellicer,pellicer,home,3,8/17/19,initial,3,red,1,5,0,
10,24,control,pellicer,pellicer,home,3,8/17/19,initial,1,blue,1,9,0,
10,24,control,pellicer,pellicer,home,3,8/17/19,initial,1,purple,1,9,0,
10,24,control,pellicer,pellicer,home,3,8/17/19,initial,1,red,1,5,0,
8,25,control,pellicer,pellicer,home,3,8/17/19,initial,1,purple,1,11,0,
8,25,control,pellicer,pellicer,home,3,8/17/19,initial,1,red,1,15,0,
7,26,cage,pellicer,pellicer,home,3,8/17/19,initial,3,blue,1,13,0,
7,26,cage,pellicer,pellicer,home,3,8/17/19,initial,3,purple,1,11,0,
7,26,cage,pellicer,pellicer,home,3,8/17/19,initial,3,red,1,7,0,
6,36,cage,butler,pellicer,away,3,8/17/19,initial,2,blue,1,14,0,
6,36,cage,butler,pellicer,away,3,8/17/19,initial,2,purple,1,12,0,
6,36,cage,butler,pellicer,away,3,8/17/19,initial,2,red,1,9,0,
2,37,control,butler,pellicer,away,3,8/17/19,initial,2,blue,1,11,0,
2,37,control,butler,pellicer,away,3,8/17/19,initial,2,purple,1,6,0,
2,37,control,butler,pellicer,away,3,8/17/19,initial,2,red,1,13,0,
19,38,cage,butler,pellicer,away,3,8/17/19,initial,2,blue,1,8,0,
19,38,cage,butler,pellicer,away,3,8/17/19,initial,2,purple,1,8,0,
19,38,cage,butler,pellicer,away,3,8/17/19,initial,2,red,1,13,0,
4,41,control,butler,pellicer,away,3,8/17/19,initial,2,blue,1,7,0,
4,41,control,butler,pellicer,away,3,8/17/19,initial,2,purple,1,8,0,
4,41,control,butler,pellicer,away,3,8/17/19,initial,2,red,1,6,0,
