DateTime,High Range,Temp,Specific Conductance,Salinity,Site
12/3/19,31920.9,17.7,54447.9,36.0288,butler
12/3/19,31947.6,17.76,54420.9,36.0087,butler
12/3/19,31909.4,17.8,54307.8,35.9244,butler
12/3/19,31890.3,17.86,54203.5,35.8467,butler
12/3/19,31875.1,17.92,54105.9,35.774,butler
12/3/19,31890.3,17.96,54083.8,35.7575,butler
12/3/19,31875.1,17.92,54105.3,35.7736,butler
12/3/19,31863.7,17.83,54193,35.8389,butler
12/3/19,31890.3,17.85,54213.9,35.8544,butler
12/3/19,31882.7,17.73,54344.2,35.9516,butler
12/3/19,31791.5,17.61,54332.8,35.943,butler
12/4/19,31514,16.23,55535.6,36.8414,butler
12/4/19,31689.6,16.54,55455.4,36.7813,butler
12/4/19,31734.8,16.7,55335,36.6913,butler
12/4/19,31780.2,16.8,55289.7,36.6574,butler
12/4/19,31742.4,16.7,55347.6,36.7007,butler
12/4/19,31637.1,16.57,55325.4,36.6841,butler
12/4/19,31618.4,16.44,55454.2,36.7804,butler
12/4/19,31566.1,16.37,55449.8,36.7771,butler
12/4/19,31521.5,16.21,55571.4,36.8681,butler
12/4/19,31469.5,16.12,55592.6,36.884,butler
12/4/19,31399.4,16.1,55494.1,36.8102,butler
12/4/19,31392,16.16,55405.6,36.7441,butler
12/4/19,31399.4,16.23,55330.8,36.6881,butler
12/4/19,31410.4,16.32,55237.7,36.6185,butler
12/4/19,31373.6,16.29,55210.2,36.598,butler
12/4/19,31303.9,16.22,55174.8,36.5715,butler
12/4/19,31296.6,16.12,55286.3,36.6548,butler
12/4/19,31209.2,15.96,55332.1,36.6891,butler
12/4/19,31443.6,16.23,55397.6,36.7381,butler
12/4/19,31581,16.44,55375.9,36.7218,butler
12/4/19,31573.6,16.5,55288.1,36.6562,butler
12/4/19,31584.8,16.44,55381.9,36.7263,butler
12/4/19,31547.5,16.44,55316.5,36.6774,butler
12/4/19,31495.5,16.42,55250.2,36.6278,butler
12/4/19,31573.6,16.42,55386.3,36.7296,butler
12/4/19,31573.6,16.41,55398.5,36.7387,butler
12/4/19,31502.9,16.34,55361.8,36.7113,butler
12/4/19,31451,16.26,55370.3,36.7177,butler
12/4/19,31436.3,16.25,55356.7,36.7075,butler
12/4/19,31417.8,16.31,55249.2,36.6271,butler
12/4/19,31392,16.35,55154,36.556,butler
12/4/19,31311.3,16.38,54975.4,36.4225,butler
12/4/19,31285.7,16.39,54917.9,36.3796,butler
12/4/19,31303.9,16.41,54924.7,36.3847,butler
12/4/19,31234.6,16.42,54791,36.2848,butler
12/4/19,31241.9,16.42,54803.5,36.2941,butler
12/4/19,31252.8,16.38,54871.6,36.3449,butler
12/4/19,31260.1,16.35,54921.1,36.3819,butler
12/4/19,31227.3,16.29,54937.6,36.3943,butler
12/4/19,31191,16.23,54948,36.402,butler
12/5/19,31300.3,15.67,55833.8,37.0646,butler
12/5/19,31540,16.16,55638.1,36.918,butler
12/5/19,31540,16.18,55612.7,36.899,butler
12/5/19,31540,16.13,55675.2,36.9458,butler
12/5/19,31480.6,16.06,55658.4,36.9332,butler
