meter,post,treatment,reef,spat.source,home.away,position,date.checked,month.checked,number.shells,color,status,size,missing.cage,notes
5,23,cage,butler,pellicer,away,2,8/17/19,initial,3,red,1,8,,
8,27,control,pellicer,pellicer,home,2,8/17/19,initial,3,blue,1,16,,
8,27,control,pellicer,pellicer,home,2,8/17/19,initial,3,purple,1,6,,
8,27,control,pellicer,pellicer,home,2,8/17/19,initial,3,red,1,16,,
6,29,control,pellicer,pellicer,home,2,8/17/19,initial,3,blue,1,8,,
6,29,control,pellicer,pellicer,home,2,8/17/19,initial,3,purple,1,11,,
6,29,control,pellicer,pellicer,home,2,8/17/19,initial,3,red,1,10,,
10,31,control,pellicer,pellicer,home,2,8/17/19,initial,3,blue,1,20,,
10,31,control,pellicer,pellicer,home,2,8/17/19,initial,3,purple,1,12,,
10,31,control,pellicer,pellicer,home,2,8/17/19,initial,3,red,1,18,,
2,32,control,butler,pellicer,away,2,8/17/19,initial,1,blue,1,11,,
2,32,control,butler,pellicer,away,2,8/17/19,initial,1,purple,1,13,,
2,32,control,butler,pellicer,away,2,8/17/19,initial,1,red,1,12,,
17,34,cage,pellicer,pellicer,home,2,8/17/19,initial,3,blue,1,10,,
17,34,cage,pellicer,pellicer,home,2,8/17/19,initial,3,purple,1,15,,
17,34,cage,pellicer,pellicer,home,2,8/17/19,initial,3,red,1,9,,
4,39,control,butler,pellicer,away,2,8/17/19,initial,1,blue,1,12,,
4,39,control,butler,pellicer,away,2,8/17/19,initial,1,purple,1,14,,
4,39,control,butler,pellicer,away,2,8/17/19,initial,1,red,1,9,,
13,40,cage,butler,pellicer,away,2,8/17/19,initial,3,blue,1,12,,
13,40,cage,butler,pellicer,away,2,8/17/19,initial,3,purple,1,9,,
13,40,cage,butler,pellicer,away,2,8/17/19,initial,3,red,1,11,,
12,42,cage,pellicer,pellicer,home,2,8/17/19,initial,2,blue,1,11,,
12,42,cage,pellicer,pellicer,home,2,8/17/19,initial,2,purple,1,9,,
12,42,cage,pellicer,pellicer,home,2,8/17/19,initial,2,red,1,7,,
19,43,cage,butler,pellicer,away,2,8/17/19,initial,3,blue,1,17,,
19,43,cage,butler,pellicer,away,2,8/17/19,initial,3,purple,1,13,,
19,43,cage,butler,pellicer,away,2,8/17/19,initial,3,red,1,12,,
3,44,cage,pellicer,pellicer,home,2,8/17/19,initial,2,blue,1,8,,
3,44,cage,pellicer,pellicer,home,2,8/17/19,initial,2,purple,1,6,,
3,44,cage,pellicer,pellicer,home,2,8/17/19,initial,2,red,1,10,,
20,46,control,butler,pellicer,away,2,8/17/19,initial,1,blue,1,14,,
20,46,control,butler,pellicer,away,2,8/17/19,initial,1,purple,1,15,,
20,46,control,butler,pellicer,away,2,8/17/19,initial,1,red,1,5,,
18,48,control,pellicer,pellicer,home,2,8/17/19,initial,3,blue,1,11,,
18,48,control,pellicer,pellicer,home,2,8/17/19,initial,3,purple,1,12,,
18,48,control,pellicer,pellicer,home,2,8/17/19,initial,3,red,1,6,,
4,63,control,pellicer,butler,away,2,8/17/19,initial,2,blue,1,7,,
4,63,control,pellicer,butler,away,2,8/17/19,initial,2,purple,1,8,,
4,63,control,pellicer,butler,away,2,8/17/19,initial,2,red,1,13,,
10,64,control,butler,butler,home,2,8/17/19,initial,2,blue,1,4,,
10,64,control,butler,butler,home,2,8/17/19,initial,2,purple,1,8,,
10,64,control,butler,butler,home,2,8/17/19,initial,2,red,1,5,,
20,67,cage,pellicer,butler,away,2,8/17/19,initial,2,blue,1,6,,
20,67,cage,pellicer,butler,away,2,8/17/19,initial,2,purple,1,15,,
20,67,cage,pellicer,butler,away,2,8/17/19,initial,2,red,1,7,,
8,68,control,butler,butler,home,2,8/17/19,initial,2,blue,1,14,,
8,68,control,butler,butler,home,2,8/17/19,initial,2,purple,1,6,,
8,68,control,butler,butler,home,2,8/17/19,initial,2,red,1,14,,
17,72,control,butler,butler,home,2,8/17/19,initial,2,blue,1,10,,
17,72,control,butler,butler,home,2,8/17/19,initial,2,purple,1,17,,
17,72,control,butler,butler,home,2,8/17/19,initial,2,red,1,11,,
1,76,control,pellicer,butler,away,2,8/17/19,initial,2,blue,1,16,,
1,76,control,pellicer,butler,away,2,8/17/19,initial,2,purple,1,14,,
1,76,control,pellicer,butler,away,2,8/17/19,initial,2,red,1,3,,
19,81,control,pellicer,butler,away,2,8/17/19,initial,2,blue,1,9,,
19,81,control,pellicer,butler,away,2,8/17/19,initial,2,purple,1,8,,
19,81,control,pellicer,butler,away,2,8/17/19,initial,2,red,1,13,,
12,85,cage,butler,butler,home,2,8/17/19,initial,2,blue,1,9,,
12,85,cage,butler,butler,home,2,8/17/19,initial,2,purple,1,7,,
12,85,cage,butler,butler,home,2,8/17/19,initial,2,red,1,11,,
16,94,cage,butler,butler,home,2,8/17/19,initial,3,blue,1,7,,
16,94,cage,butler,butler,home,2,8/17/19,initial,3,purple,1,16,,
16,94,cage,butler,butler,home,2,8/17/19,initial,3,red,1,11,,
14,96,cage,butler,butler,home,2,8/17/19,initial,2,blue,1,13,,
14,96,cage,butler,butler,home,2,8/17/19,initial,2,purple,1,9,,
14,96,cage,butler,butler,home,2,8/17/19,initial,2,red,1,11,,
18,97,cage,butler,butler,home,2,8/17/19,initial,3,blue,1,7,,
18,97,cage,butler,butler,home,2,8/17/19,initial,3,purple,1,10,,
18,97,cage,butler,butler,home,2,8/17/19,initial,3,red,1,5,,
16,98,cage,pellicer,butler,away,2,8/17/19,initial,3,blue,1,18,,
16,98,cage,pellicer,butler,away,2,8/17/19,initial,3,purple,1,4,,
16,98,cage,pellicer,butler,away,2,8/17/19,initial,3,red,1,10,,
15,102,control,butler,butler,home,2,8/17/19,initial,3,blue,1,7,,
15,102,control,butler,butler,home,2,8/17/19,initial,3,purple,1,17,,
15,102,control,butler,butler,home,2,8/17/19,initial,3,red,1,7,,
14,104,cage,pellicer,butler,away,2,8/17/19,initial,3,blue,1,16,,
14,104,cage,pellicer,butler,away,2,8/17/19,initial,3,purple,1,17,,
14,104,cage,pellicer,butler,away,2,8/17/19,initial,3,red,1,18,,
13,106,cage,pellicer,butler,away,2,8/17/19,initial,3,blue,1,17,,
13,106,cage,pellicer,butler,away,2,8/17/19,initial,3,purple,1,16,,
13,106,cage,pellicer,butler,away,2,8/17/19,initial,3,red,1,16,,
11,108,control,pellicer,butler,away,2,8/17/19,initial,3,blue,1,12,,
11,108,control,pellicer,butler,away,2,8/17/19,initial,3,purple,1,14,,
11,108,control,pellicer,butler,away,2,8/17/19,initial,3,red,1,4,,
2,109,control,pellicer,butler,away,2,8/17/19,initial,2,blue,1,8,,
2,109,control,pellicer,butler,away,2,8/17/19,initial,2,purple,1,9,,
2,109,control,pellicer,butler,away,2,8/17/19,initial,2,red,1,13,,
9,111,cage,pellicer,butler,away,2,8/17/19,initial,2,blue,1,13,,
9,111,cage,pellicer,butler,away,2,8/17/19,initial,2,purple,1,14,,
9,111,cage,pellicer,butler,away,2,8/17/19,initial,2,red,1,10,,
3,114,cage,butler,butler,home,2,8/17/19,initial,3,blue,1,6,,
3,114,cage,butler,butler,home,2,8/17/19,initial,3,purple,1,13,,
3,114,cage,butler,butler,home,2,8/17/19,initial,3,red,1,12,,
7,119,control,butler,butler,home,2,8/17/19,initial,2,blue,1,14,,
7,119,control,butler,butler,home,2,8/17/19,initial,2,purple,1,7,,
7,119,control,butler,butler,home,2,8/17/19,initial,2,red,1,8,,
5,1,cage,pellicer,pellicer,home,3,8/17/19,initial,1,blue,1,5,,
5,1,cage,pellicer,pellicer,home,3,8/17/19,initial,1,purple,1,13,,
5,1,cage,pellicer,pellicer,home,3,8/17/19,initial,1,red,1,13,,
20,2,control,butler,pellicer,away,3,8/17/19,initial,2,blue,1,10,,
20,2,control,butler,pellicer,away,3,8/17/19,initial,2,purple,1,14,,
20,2,control,butler,pellicer,away,3,8/17/19,initial,2,red,1,12,,
3,7,cage,pellicer,pellicer,home,3,8/17/19,initial,1,blue,1,18,,
3,7,cage,pellicer,pellicer,home,3,8/17/19,initial,1,purple,1,9,,
3,7,cage,pellicer,pellicer,home,3,8/17/19,initial,1,red,1,17,,
1,12,control,butler,pellicer,away,3,8/17/19,initial,2,blue,1,14,,
1,12,control,butler,pellicer,away,3,8/17/19,initial,2,purple,1,10,,
1,12,control,butler,pellicer,away,3,8/17/19,initial,2,red,1,12,,
11,13,control,butler,pellicer,away,3,8/17/19,initial,2,blue,1,17,,
11,13,control,butler,pellicer,away,3,8/17/19,initial,2,purple,1,13,,
11,13,control,butler,pellicer,away,3,8/17/19,initial,2,red,1,14,,
6,16,control,pellicer,pellicer,home,3,8/17/19,initial,1,blue,1,9,,
6,16,control,pellicer,pellicer,home,3,8/17/19,initial,1,purple,1,18,,
6,16,control,pellicer,pellicer,home,3,8/17/19,initial,1,red,1,15,,
12,18,cage,pellicer,pellicer,home,3,8/17/19,initial,2,blue,1,11,,
12,18,cage,pellicer,pellicer,home,3,8/17/19,initial,2,purple,1,8,,
12,18,cage,pellicer,pellicer,home,3,8/17/19,initial,2,red,1,11,,
15,22,control,pellicer,pellicer,home,3,8/17/19,initial,3,blue,1,9,,
