reef.id,date,nerr.zone,nsf.site,quad.no,organism.type,size,sex,notes
FM1,4/20/19,matanzas,tradewinds,26,mudcrab,19,gf,
FM1,4/20/19,matanzas,tradewinds,39,mudcrab,28,m,
FM1,4/20/19,matanzas,tradewinds,39,mudcrab,17,m,
FM1,4/20/19,matanzas,tradewinds,39,mudcrab,27,m,
FM1,4/20/19,matanzas,tradewinds,39,mudcrab,23,m,
FM1,4/20/19,matanzas,tradewinds,39,mudcrab,18,m,
FM1,4/20/19,matanzas,tradewinds,52,mudcrab,32,gf,
FM1,4/20/19,matanzas,tradewinds,52,mudcrab,25,m,
FM1,4/20/19,matanzas,tradewinds,52,mudcrab,28,m,
FM1,4/20/19,matanzas,tradewinds,52,mudcrab,18,m,
FM1,4/20/19,matanzas,tradewinds,52,mudcrab,19,gf,
FM1,4/20/19,matanzas,tradewinds,65,mudcrab,20,gf,
FM1,4/20/19,matanzas,tradewinds,65,mudcrab,20,f,
FM1,4/20/19,matanzas,tradewinds,65,mudcrab,30,m,
FM1,4/20/19,matanzas,tradewinds,65,mudcrab,20,m,
FM1,4/20/19,matanzas,tradewinds,65,mudcrab,20,m,
FM1,4/20/19,matanzas,tradewinds,78,mudcrab,18,gf,
FM1,4/20/19,matanzas,tradewinds,78,mudcrab,21,m,
FM1,4/20/19,matanzas,tradewinds,78,mudcrab,20,gf,
MA2,4/20/19,matanzas,tradewinds,4,mudcrab,19,f,
MA2,4/20/19,matanzas,tradewinds,4,mudcrab,29,gf,
MA2,4/20/19,matanzas,tradewinds,8,mudcrab,20,f,
MA2,4/20/19,matanzas,tradewinds,8,mudcrab,23,f,
MA2,4/20/19,matanzas,tradewinds,12,mudcrab,39,m,
MA2,4/20/19,matanzas,tradewinds,12,mudcrab,24,m,
MA2,4/20/19,matanzas,tradewinds,12,mudcrab,17,f,
MA2,4/20/19,matanzas,tradewinds,12,mudcrab,15,f,
MA2,4/20/19,matanzas,tradewinds,16,mudcrab,26,m,
MA2,4/20/19,matanzas,tradewinds,16,mudcrab,25,m,
MA2,4/20/19,matanzas,tradewinds,16,mudcrab,19,m,
MA2,4/20/19,matanzas,tradewinds,16,mudcrab,23,m,
MA2,4/20/19,matanzas,tradewinds,16,mudcrab,20,gf,
MA2,4/20/19,matanzas,tradewinds,20,mudcrab,20,gf,
MA2,4/20/19,matanzas,tradewinds,20,mudcrab,23,gf,
MA2,4/20/19,matanzas,tradewinds,20,mudcrab,26,f,
MA2,4/20/19,matanzas,tradewinds,20,mudcrab,23,f,
MA2,4/20/19,matanzas,tradewinds,24,mudcrab,23,gf,
MA2,4/20/19,matanzas,tradewinds,24,mudcrab,17,gf,
MANSF,4/20/19,matanzas,tradewinds,11,mudcrab,20,m,
MANSF,4/20/19,matanzas,tradewinds,11,mudcrab,20,gf,
MANSF,4/20/19,matanzas,tradewinds,11,mudcrab,29,m,
MANSF,4/20/19,matanzas,tradewinds,11,mudcrab,38,m,
MANSF,4/20/19,matanzas,tradewinds,11,mudcrab,25,m,
MANSF,4/20/19,matanzas,tradewinds,22,mudcrab,22,m,
MANSF,4/20/19,matanzas,tradewinds,22,mudcrab,19,m,
MANSF,4/20/19,matanzas,tradewinds,22,mudcrab,20,gf,
MANSF,4/20/19,matanzas,tradewinds,22,mudcrab,21,gf,
MANSF,4/20/19,matanzas,tradewinds,33,mudcrab,22,m,
MANSF,4/20/19,matanzas,tradewinds,44,mudcrab,20,f,
MANSF,4/20/19,matanzas,tradewinds,44,mudcrab,34,gf,
MANSF,4/20/19,matanzas,tradewinds,44,mudcrab,24,m,
MANSF,4/20/19,matanzas,tradewinds,44,mudcrab,23,gf,
MANSF,4/20/19,matanzas,tradewinds,44,mudcrab,36,m,
MANSF,4/20/19,matanzas,tradewinds,44,mudcrab,22,m,
MANSF,4/20/19,matanzas,tradewinds,44,mudcrab,20,gf,
MANSF,4/20/19,matanzas,tradewinds,44,mudcrab,19,m,
MANSF,4/20/19,matanzas,tradewinds,55,mudcrab,26,m,
MANSF,4/20/19,matanzas,tradewinds,55,mudcrab,34,m,
MANSF,4/20/19,matanzas,tradewinds,55,mudcrab,37,m,
MANSF,4/20/19,matanzas,tradewinds,55,mudcrab,18,m,
MANSF,4/20/19,matanzas,tradewinds,55,mudcrab,16,m,
MANSF,4/20/19,matanzas,tradewinds,55,mudcrab,20,f,
MANSF,4/20/19,matanzas,tradewinds,55,mudcrab,21,m,
MANSF,4/20/19,matanzas,tradewinds,55,mudcrab,21,m,
MANSF,4/20/19,matanzas,tradewinds,55,mudcrab,21,m,
MANSF,4/20/19,matanzas,tradewinds,55,mudcrab,21,m,
MANSF,4/20/19,matanzas,tradewinds,55,mudcrab,20,gf,
MANSF,4/20/19,matanzas,tradewinds,66,mudcrab,34,m,
MANSF,4/20/19,matanzas,tradewinds,66,mudcrab,25,gf,
MANSF,4/20/19,matanzas,tradewinds,66,mudcrab,16,m,
MANSF,4/20/19,matanzas,tradewinds,66,mudcrab,21,m,
BU1,4/21/19,butler,moses,11,mudcrab,20,m,
BU1,4/21/19,butler,moses,11,mudcrab,25,m,
BU1,4/21/19,butler,moses,11,mudcrab,18,gf,
BU1,4/21/19,butler,moses,11,mudcrab,20,m,
BU1,4/21/19,butler,moses,11,mudcrab,21,m,
BU1,4/21/19,butler,moses,11,mudcrab,24,m,
BU1,4/21/19,butler,moses,11,mudcrab,32,m,
BU1,4/21/19,butler,moses,11,mudcrab,26,m,
BU1,4/21/19,butler,moses,11,mudcrab,24,m,
BU1,4/21/19,butler,moses,11,mudcrab,16,f,
BU1,4/21/19,butler,moses,11,mudcrab,18,gf,
BU1,4/21/19,butler,moses,11,mudcrab,20,m,
BU1,4/21/19,butler,moses,22,mudcrab,32,m,
BU1,4/21/19,butler,moses,22,mudcrab,34,m,
BU1,4/21/19,butler,moses,22,mudcrab,28,gf,
BU1,4/21/19,butler,moses,22,mudcrab,24,m,
BU1,4/21/19,butler,moses,22,mudcrab,24,m,
BU1,4/21/19,butler,moses,22,mudcrab,22,m,
BU1,4/21/19,butler,moses,22,mudcrab,39,m,
BU1,4/21/19,butler,moses,33,mudcrab,33,m,
BU1,4/21/19,butler,moses,33,mudcrab,30,m,
BU1,4/21/19,butler,moses,33,mudcrab,20,gf,
BU1,4/21/19,butler,moses,33,mudcrab,20,f,
BU1,4/21/19,butler,moses,33,mudcrab,15,gf,
BU1,4/21/19,butler,moses,33,mudcrab,22,m,
BU1,4/21/19,butler,moses,33,mudcrab,36,m,
BU1,4/21/19,butler,moses,33,mudcrab,26,f,
BU1,4/21/19,butler,moses,44,mudcrab,37,m,
BU1,4/21/19,butler,moses,44,mudcrab,37,f,
BU1,4/21/19,butler,moses,44,mudcrab,28,f,
BU1,4/21/19,butler,moses,44,mudcrab,21,m,
BU1,4/21/19,butler,moses,44,mudcrab,23,m,
BU1,4/21/19,butler,moses,44,mudcrab,16,f,
BU1,4/21/19,butler,moses,44,mudcrab,19,gf,
BU1,4/21/19,butler,moses,44,mudcrab,22,f,
BU1,4/21/19,butler,moses,44,mudcrab,20,gf,
BU1,4/21/19,butler,moses,55,mudcrab,27,gf,
BU1,4/21/19,butler,moses,55,mudcrab,35,m,
BU1,4/21/19,butler,moses,55,mudcrab,20,f,
BU1,4/21/19,butler,moses,55,mudcrab,23,gf,
BU1,4/21/19,butler,moses,55,mudcrab,32,m,
BU1,4/21/19,butler,moses,55,mudcrab,21,f,
BU1,4/21/19,butler,moses,55,mudcrab,21,gf,
BU1,4/21/19,butler,moses,55,mudcrab,24,m,
BU1,4/21/19,butler,moses,66,mudcrab,28,gf,
BU1,4/21/19,butler,moses,66,mudcrab,32,gf,
BU1,4/21/19,butler,moses,66,mudcrab,21,m,
BU1,4/21/19,butler,moses,66,mudcrab,37,m,
BU1,4/21/19,butler,moses,66,mudcrab,33,m,
BU1,4/21/19,butler,moses,66,mudcrab,19,f,
BU1,4/21/19,butler,moses,66,mudcrab,21,gf,
BU2,4/21/19,butler,moses,2.5,mudcrab,14,f,
BU2,4/21/19,butler,moses,2.5,mudcrab,14,m,
BU2,4/21/19,butler,moses,2.5,mudcrab,32,m,
BU2,4/21/19,butler,moses,2.5,mudcrab,24,m,
BU2,4/21/19,butler,moses,2.5,mudcrab,15,f,
BU2,4/21/19,butler,moses,2.5,mudcrab,20,f,
BU2,4/21/19,butler,moses,5,mudcrab,20,m,"1 other escaped- ~25, M"
BU2,4/21/19,butler,moses,7.5,mudcrab,20,m,
BU2,4/21/19,butler,moses,7.5,mudcrab,26,m,
BU2,4/21/19,butler,moses,7.5,mudcrab,16,m,
